stations,,,source: FDNY,,,
index,x,y,capacity,,station #,address,note
1,-73.84375816833915,40.817859239661125,100,,03,GLEASON AV & TAYLOR AV,Soundview
2,-73.84549348214915,40.848452644011346,100,,H22,HOLLAND AV & MORRIS PARK AV,Montefiore-Jack D. Weiler
3,-73.89091756496387,40.85410034133095,100,,H83,BELMONT AV & E 179 ST,St. Barnabas Hospital
4,-73.90391088221045,40.85867129402089,100,,19,E 199 ST & VALENTINE AV,University Heights
5,-73.86879374986033,40.89651932915067,100,,27,INDEPENDENCE AV & W 250 ST,Woodlawn
6,-73.90070021074087,40.83070134506121,100,,26,STATION 26 MORRISANIA,Morrisania
7,-73.84431603713955,40.85525290287348,100,,20,LYDIG AV & WALLACE AV,Morris Park
8,-73.90179478582738,40.8409834857098,100,,18,E 184 ST & MORRIS AV,Bathgate
9,-73.92805061096273,40.834958573401536,100,,17,E 167 ST & SHERMAN AV,Highbridge
10,-73.91114347761305,40.84314585361491,100,,H23,E 176 ST & WALTON AV,Bronx Care-Concourse
11,-73.91708994366259,40.82388689644114,100,,55M,3 AV & E 153 ST,Melrose MHR
12,-73.91711254103284,40.8238747613923,100,,55,STATION 55 MELROSE,Melrose
13,-73.85892935713454,40.890993801420414,100,,15,STATION 15 WILLIAMSBRIDGE,Williamsbridge
14,-73.92565536012641,40.81702129560673,100,,14,BEEKMAN AV & E 141 ST,South Bronx
15,-73.84375816833915,40.817859239661125,100,,03M,BRITTON ST & WHITE PLAINS RD,Soundview MHR
